trialnum,time,state,mapAngle,viewAngle,posx,posy,posz,rotx,roty,rotz,gazex,gazey,gazez
1,0.8771095,Show Map Crossing: 0,0,0,-1000,-1000,-1000,357.5482,95.86401,0.5562177,-995.5195,-999.8621,-1000.857
1,0.8905602,Show Map Crossing: 0,0,0,-1000,-1000,-1000,357.7259,96.00704,0.538447,-995.5229,-999.8176,-1000.865
1,0.903759,Show Map Crossing: 0,0,0,-1000,-1000,-1000,357.9182,96.15701,0.521049,-995.5234,-999.8021,-1000.861
1,0.9171982,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.1716,96.2944,0.5092657,-995.5231,-999.7991,-1000.855
1,0.9307022,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.491,96.41583,0.5026725,-995.5229,-999.79,-1000.849
1,0.9440079,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8882,96.52758,0.47436,-995.5229,-999.815,-1000.859
1,0.957283,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.2745,96.62933,0.4349408,-995.5218,-999.8336,-1000.858
1,0.9705544,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.5991,96.73319,0.4090714,-995.5207,-999.8523,-1000.857
1,0.98386,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.8005,96.83244,0.3825516,-995.5193,-999.8618,-1000.853
1,0.9973526,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.9514,96.91963,0.3392257,-995.5184,-999.8544,-1000.849
1,1.010601,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.07388874,96.98962,0.3290609,-995.5187,-999.8663,-1000.856
1,1.023769,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.036926,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.051712,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.06517,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.079227,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.091545,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.104637,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.118221,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.131248,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.144547,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
